COL.,DATA TYPE  ,,,,,,,,,,,,,,,
1,Date Time (AST),,,,,,,,,,,,,,,
2,0-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
3,5-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
4,10-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
5,15-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
6,20-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
7,40-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
8,60-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
9,80-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
10,100-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
11,120-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
12,135-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
13,150-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
,"NOTE:,6999 DENOTES MISSING DATA OR INVALID DATA",,,,,,,,,,,,,,,
,",7777 DENOTES UNCOLLECTED DATA ",,,,,,,,,,,,,,,
ID,Year,Month,Day,Hour,Depth.0.cm,Depth.5.cm,Depth.10.cm,Depth.15.cm,Depth.20.cm,Depth.40.cm,Depth.60.cm,Depth.80.cm,Depth.100.cm,Depth.120.cm,Depth.135.cm,Depth.150.cm
1573,2011,3,7,12,-9.15,-8.66,-8.73,-8.38,-8.24,-7.703,-6.59,-6.145,7777,-5.461,-5.155,-5.338
1574,2011,3,7,13,-9.18,-8.62,-8.76,-8.42,-8.21,-7.672,-6.561,-6.18,7777,-5.495,-5.189,-5.372
1575,2011,3,7,14,-9.06,-8.65,-8.71,-8.37,-8.16,-7.693,-6.581,-6.2,7777,-5.453,-5.208,-5.33
1576,2011,3,7,15,-9.13,-8.64,-8.71,-8.37,-8.16,-7.693,-6.581,-6.2,7777,-5.514,-5.208,-5.33
1577,2011,3,7,16,-9.06,-8.64,-8.64,-8.36,-8.16,-7.685,-6.574,-6.193,7777,-5.508,-5.202,-5.324
1578,2011,3,7,17,-9.13,-8.64,-8.71,-8.36,-8.22,-7.685,-6.574,-6.192,7777,-5.506,-5.2,-5.384
1579,2011,3,7,18,-9.11,-8.62,-8.62,-8.34,-8.14,-7.667,-6.556,-6.174,7777,-5.489,-5.183,-5.305
1580,2011,3,7,19,-9.17,-8.61,-8.68,-8.34,-8.2,-7.661,-6.614,-6.231,7777,-5.482,-5.237,-5.359
1581,2011,3,7,20,-9.15,-8.66,-8.66,-8.32,-8.18,-7.708,-6.595,-6.149,7777,-5.525,-5.219,-5.341
1582,2011,3,7,21,-9.15,-8.59,-8.66,-8.32,-8.11,-7.708,-6.595,-6.149,7777,-5.464,-5.219,-5.341
1583,2011,3,7,22,-9.12,-8.63,-8.7,-8.28,-8.15,-7.674,-6.626,-6.18,7777,-5.494,-5.187,-5.371
1584,2011,3,7,23,-9.19,-8.63,-8.7,-8.28,-8.15,-7.674,-6.626,-6.18,7777,-5.494,-5.248,-5.371
1585,2011,3,8,0,-9.22,-8.66,-8.66,-8.31,-8.18,-7.704,-6.654,-6.208,7777,-5.521,-5.214,-5.398
1586,2011,3,8,1,-9.18,-8.62,-8.62,-8.27,-8.14,-7.665,-6.617,-6.171,7777,-5.485,-5.24,-5.362
1587,2011,3,8,2,-9.18,-8.62,-8.69,-8.34,-8.14,-7.665,-6.617,-6.234,7777,-5.485,-5.24,-5.362
1588,2011,3,8,3,-9.25,-8.69,-8.69,-8.34,-8.14,-7.665,-6.617,-6.234,7777,-5.547,-5.24,-5.362
1589,2011,3,8,4,-9.25,-8.62,-8.62,-8.27,-8.14,-7.665,-6.617,-6.171,7777,-5.485,-5.24,-5.362
1590,2011,3,8,5,-9.26,-8.7,-8.7,-8.28,-8.15,-7.673,-6.625,-6.179,7777,-5.554,-5.247,-5.37
1591,2011,3,8,6,-9.33,-8.69,-8.69,-8.35,-8.14,-7.671,-6.623,-6.177,7777,-5.491,-5.245,-5.368
1592,2011,3,8,7,-9.34,-8.7,-8.7,-8.29,-8.15,-7.613,-6.632,-6.186,7777,-5.5,-5.254,-5.377
1593,2011,3,8,8,-9.32,-8.76,-8.76,-8.34,-8.14,-7.665,-6.617,-6.234,7777,-5.547,-5.24,-5.362
1594,2011,3,8,9,-9.38,-8.75,-8.75,-8.33,-8.19,-7.655,-6.608,-6.225,7777,-5.538,-5.293,-5.415
1595,2011,3,8,10,-9.38,-8.75,-8.75,-8.33,-8.13,-7.655,-6.608,-6.226,7777,-5.539,-5.293,-5.354
1596,2011,3,8,11,-9.34,-8.78,-8.78,-8.36,-8.16,-7.684,-6.636,-6.253,7777,-5.504,-5.259,-5.381
1597,2011,3,8,12,-9.37,-8.74,-8.74,-8.39,-8.18,-7.645,-6.599,-6.217,7777,-5.53,-5.285,-5.407
1598,2011,3,8,13,-9.36,-8.72,-8.72,-8.38,-8.17,-7.636,-6.59,-6.208,7777,-5.522,-5.277,-5.399
1599,2011,3,8,14,-9.36,-8.79,-8.79,-8.38,-8.24,-7.7,-6.588,-6.269,7777,-5.52,-5.275,-5.397
1600,2011,3,8,15,-9.42,-8.78,-8.78,-8.37,-8.16,-7.626,-6.645,-6.263,7777,-5.576,-5.269,-5.391
1601,2011,3,8,16,-9.35,-8.71,-8.71,-8.37,-8.16,-7.626,-6.581,-6.2,7777,-5.514,-5.269,-5.33
1602,2011,3,8,17,-9.46,-8.75,-8.75,-8.41,-8.2,-7.661,-6.615,-6.233,7777,-5.546,-5.24,-5.362
1603,2011,3,8,18,-9.42,-8.78,-8.78,-8.37,-8.16,-7.624,-6.578,-6.197,7777,-5.573,-5.266,-5.388
1604,2011,3,8,19,-9.4,-8.76,-8.76,-8.35,-8.14,-7.606,-6.561,-6.179,7777,-5.555,-5.248,-5.37
1605,2011,3,8,20,-9.42,-8.78,-8.78,-8.37,-8.23,-7.69,-6.642,-6.195,7777,-5.509,-5.263,-5.386
1606,2011,3,8,21,-9.46,-8.83,-8.76,-8.41,-8.2,-7.665,-6.617,-6.234,7777,-5.547,-5.24,-5.363
1607,2011,3,8,22,-9.46,-8.83,-8.83,-8.48,-8.2,-7.665,-6.617,-6.234,7777,-5.609,-5.301,-5.424
1608,2011,3,8,23,-9.46,-8.83,-8.83,-8.48,-8.2,-7.665,-6.617,-6.234,7777,-5.547,-5.301,-5.424
1609,2011,3,9,0,-9.46,-8.83,-8.83,-8.48,-8.2,-7.665,-6.617,-6.234,7777,-5.547,-5.301,-5.424
1610,2011,3,9,1,-9.49,-8.86,-8.86,-8.44,-8.23,-7.693,-6.58,-6.261,7777,-5.573,-5.266,-5.389
1611,2011,3,9,2,-9.46,-8.83,-8.83,-8.48,-8.2,-7.665,-6.617,-6.234,7777,-5.547,-5.301,-5.424
1612,2011,3,9,3,-9.5,-8.86,-8.86,-8.45,-8.24,-7.701,-6.587,-6.269,7777,-5.581,-5.273,-5.396
1613,2011,3,9,4,-9.52,-8.82,-8.82,-8.4,-8.26,-7.655,-6.608,-6.226,7777,-5.539,-5.293,-5.416
1614,2011,3,9,5,-9.52,-8.89,-8.82,-8.47,-8.26,-7.655,-6.608,-6.226,7777,-5.539,-5.293,-5.416
1615,2011,3,9,6,-9.52,-8.89,-8.89,-8.47,-8.26,-7.722,-6.672,-6.289,7777,-5.539,-5.293,-5.416
1616,2011,3,9,7,-9.52,-8.89,-8.82,-8.4,-8.26,-7.655,-6.608,-6.226,7777,-5.539,-5.293,-5.416
1617,2011,3,9,8,-9.53,-8.9,-8.9,-8.48,-8.2,-7.665,-6.617,-6.234,7777,-5.547,-5.301,-5.424
1618,2011,3,9,9,-9.58,-8.94,-8.87,-8.45,-8.32,-7.707,-6.658,-6.275,7777,-5.586,-5.34,-5.463
1619,2011,3,9,10,-9.55,-8.91,-8.91,-8.49,-8.29,-7.678,-6.63,-6.247,7777,-5.56,-5.253,-5.437
1620,2011,3,9,11,-9.51,-8.87,-8.87,-8.52,-8.25,-7.709,-6.596,-6.278,7777,-5.528,-5.283,-5.405
1621,2011,3,9,12,-9.57,-8.93,-8.93,-8.51,-8.31,-7.699,-6.651,-6.269,7777,-5.581,-5.274,-5.458
1622,2011,3,9,13,-9.5,-8.86,-8.86,-8.45,-8.31,-7.701,-6.589,-6.27,7777,-5.583,-5.276,-5.398
1623,2011,3,9,14,-9.54,-8.91,-8.91,-8.56,-8.28,-7.742,-6.693,-6.31,7777,-5.56,-5.315,-5.437
1624,2011,3,9,15,-9.48,-8.91,-8.91,-8.49,-8.36,-7.747,-6.634,-6.252,7777,-5.627,-5.319,-5.442
1625,2011,3,9,16,-9.48,-8.91,-8.91,-8.5,-8.36,-7.75,-6.636,-6.254,7777,-5.567,-5.322,-5.444
1626,2011,3,9,17,-9.48,-8.91,-8.91,-8.5,-8.29,-7.75,-6.636,-6.254,7777,-5.567,-5.261,-5.444
1627,2011,3,9,18,-9.55,-8.91,-8.91,-8.5,-8.29,-7.75,-6.636,-6.253,7777,-5.566,-5.321,-5.443
1628,2011,3,9,19,-9.5,-8.93,-8.86,-8.51,-8.31,-7.698,-6.649,-6.266,7777,-5.579,-5.272,-5.394
1629,2011,3,9,20,-9.54,-8.9,-8.9,-8.49,-8.28,-7.739,-6.624,-6.242,7777,-5.554,-5.308,-5.431
1630,2011,3,9,21,-9.53,-8.9,-8.9,-8.48,-8.34,-7.732,-6.681,-6.298,7777,-5.609,-5.301,-5.424
1631,2011,3,9,22,-9.51,-8.94,-8.94,-8.52,-8.32,-7.775,-6.659,-6.276,7777,-5.588,-5.281,-5.465
1632,2011,3,9,23,-9.58,-8.94,-8.87,-8.53,-8.32,-7.779,-6.663,-6.28,7777,-5.592,-5.346,-5.469
1633,2011,3,10,0,-9.58,-8.94,-8.94,-8.59,-8.32,-7.777,-6.661,-6.278,7777,-5.59,-5.344,-5.467
1634,2011,3,10,1,-9.55,-8.98,-8.91,-8.56,-8.35,-7.744,-6.694,-6.311,7777,-5.622,-5.315,-5.437
1635,2011,3,10,2,-9.53,-8.89,-8.89,-8.55,-8.34,-7.799,-6.683,-6.3,7777,-5.611,-5.365,-5.488
1636,2011,3,10,3,-9.49,-8.92,-8.85,-8.51,-8.3,-7.759,-6.645,-6.263,7777,-5.576,-5.33,-5.453
1637,2011,3,10,4,-9.56,-8.92,-8.92,-8.51,-8.37,-7.76,-6.645,-6.263,7777,-5.575,-5.33,-5.452
1638,2011,3,10,5,-9.58,-8.94,-8.87,-8.53,-8.32,-7.778,-6.662,-6.28,7777,-5.591,-5.345,-5.468
1639,2011,3,10,6,-9.51,-8.87,-8.87,-8.53,-8.32,-7.779,-6.663,-6.28,7777,-5.592,-5.346,-5.469
1640,2011,3,10,7,-9.51,-8.87,-8.87,-8.53,-8.32,-7.779,-6.663,-6.28,7777,-5.592,-5.346,-5.469
1641,2011,3,10,8,-9.51,-8.87,-8.87,-8.53,-8.32,-7.779,-6.663,-6.28,7777,-5.592,-5.346,-5.469
1642,2011,3,10,9,-9.52,-8.88,-8.88,-8.53,-8.33,-7.783,-6.668,-6.285,7777,-5.597,-5.351,-5.473
1643,2011,3,10,10,-9.5,-8.93,-8.93,-8.52,-8.38,-7.836,-6.718,-6.271,7777,-5.646,-5.338,-5.461
1644,2011,3,10,11,-9.42,-8.85,-8.92,-8.51,-8.3,-7.76,-6.71,-6.327,7777,-5.638,-5.331,-5.453
1645,2011,3,10,12,-9.42,-8.85,-8.92,-8.58,-8.37,-7.759,-6.709,-6.326,7777,-5.637,-5.33,-5.514
1646,2011,3,10,13,-9.34,-8.84,-8.91,-8.5,-8.36,-7.818,-6.702,-6.255,7777,-5.63,-5.323,-5.445
1647,2011,3,10,14,-9.34,-8.84,-8.91,-8.57,-8.36,-7.817,-6.7,-6.317,7777,-5.629,-5.383,-5.506
1648,2011,3,10,15,-9.3,-8.8,-8.87,-8.46,-8.32,-7.778,-6.728,-6.281,7777,-5.594,-5.348,-5.471
1649,2011,3,10,16,-9.32,-8.82,-8.89,-8.48,-8.34,-7.797,-6.682,-6.299,7777,-5.611,-5.365,-5.488
1650,2011,3,10,17,-9.27,-8.78,-8.85,-8.5,-8.3,-7.757,-6.643,-6.261,7777,-5.574,-5.329,-5.451
1651,2011,3,10,18,-9.34,-8.78,-8.85,-8.5,-8.29,-7.82,-6.703,-6.319,7777,-5.631,-5.323,-5.507
1652,2011,3,10,19,-9.31,-8.75,-8.82,-8.47,-8.34,-7.793,-6.676,-6.293,7777,-5.605,-5.359,-5.481
1653,2011,3,10,20,-9.28,-8.79,-8.79,-8.51,-8.3,-7.762,-6.71,-6.327,7777,-5.637,-5.33,-5.514
1654,2011,3,10,21,-9.28,-8.79,-8.79,-8.44,-8.31,-7.764,-6.713,-6.329,7777,-5.64,-5.332,-5.516
1655,2011,3,10,22,-9.31,-8.75,-8.82,-8.47,-8.33,-7.789,-6.737,-6.289,7777,-5.662,-5.354,-5.477
1656,2011,3,10,23,-9.24,-8.75,-8.82,-8.47,-8.26,-7.789,-6.737,-6.289,7777,-5.662,-5.354,-5.477
1657,2011,3,11,0,-9.27,-8.78,-8.78,-8.43,-8.29,-7.818,-6.701,-6.317,7777,-5.628,-5.382,-5.505
1658,2011,3,11,1,-9.27,-8.78,-8.78,-8.43,-8.29,-7.75,-6.7,-6.316,7777,-5.627,-5.381,-5.504
1659,2011,3,11,2,-9.31,-8.75,-8.82,-8.4,-8.26,-7.789,-6.737,-6.289,7777,-5.6,-5.354,-5.477
1660,2011,3,11,3,-9.37,-8.8,-8.8,-8.46,-8.32,-7.779,-6.727,-6.344,7777,-5.654,-5.408,-5.531
1661,2011,3,11,4,-9.28,-8.71,-8.78,-8.44,-8.3,-7.759,-6.709,-6.326,7777,-5.637,-5.33,-5.514
1662,2011,3,11,5,-9.28,-8.71,-8.78,-8.44,-8.23,-7.76,-6.71,-6.327,7777,-5.638,-5.331,-5.453
1663,2011,3,11,6,-9.28,-8.78,-8.78,-8.44,-8.3,-7.759,-6.709,-6.326,7777,-5.637,-5.391,-5.514
1664,2011,3,11,7,-9.29,-8.73,-8.73,-8.45,-8.25,-7.775,-6.724,-6.34,7777,-5.589,-5.344,-5.466
1665,2011,3,11,8,-9.31,-8.75,-8.82,-8.4,-8.27,-7.727,-6.677,-6.294,7777,-5.668,-5.36,-5.483
1666,2011,3,11,9,-9.29,-8.73,-8.79,-8.45,-8.24,-7.77,-6.719,-6.335,7777,-5.646,-5.4,-5.522
1667,2011,3,11,10,-9.29,-8.79,-8.79,-8.45,-8.24,-7.769,-6.718,-6.398,7777,-5.646,-5.399,-5.522
1668,2011,3,11,11,-9.28,-8.72,-8.79,-8.44,-8.24,-7.766,-6.716,-6.333,7777,-5.644,-5.336,-5.52
1669,2011,3,11,12,-9.28,-8.71,-8.78,-8.44,-8.3,-7.827,-6.774,-6.39,7777,-5.699,-5.391,-5.576
1670,2011,3,11,13,-9.2,-8.64,-8.78,-8.37,-8.23,-7.756,-6.706,-6.323,7777,-5.634,-5.388,-5.511
1671,2011,3,11,14,-9.12,-8.63,-8.77,-8.36,-8.22,-7.75,-6.7,-6.317,7777,-5.629,-5.383,-5.506
1672,2011,3,11,15,-9.12,-8.63,-8.7,-8.36,-8.22,-7.75,-6.7,-6.317,7777,-5.629,-5.383,-5.506
1673,2011,3,11,16,-9.13,-8.64,-8.71,-8.37,-8.23,-7.759,-6.709,-6.326,7777,-5.637,-5.33,-5.514
1674,2011,3,11,17,-9.15,-8.65,-8.72,-8.38,-8.24,-7.769,-6.718,-6.335,7777,-5.645,-5.399,-5.522
1675,2011,3,11,18,-9.16,-8.67,-8.74,-8.32,-8.18,-7.712,-6.727,-6.344,7777,-5.654,-5.346,-5.469
1676,2011,3,11,19,-9.18,-8.62,-8.75,-8.34,-8.2,-7.73,-6.744,-6.36,7777,-5.669,-5.361,-5.484
1677,2011,3,11,20,-9.11,-8.69,-8.76,-8.41,-8.21,-7.734,-6.748,-6.363,7777,-5.672,-5.425,-5.549
1678,2011,3,11,21,-9.12,-8.63,-8.7,-8.35,-8.21,-7.741,-6.69,-6.37,7777,-5.679,-5.371,-5.494
1679,2011,3,11,22,-9.12,-8.63,-8.7,-8.35,-8.21,-7.741,-6.69,-6.37,7777,-5.679,-5.371,-5.494
1680,2011,3,11,23,-9.14,-8.65,-8.72,-8.3,-8.17,-7.762,-6.71,-6.326,7777,-5.698,-5.389,-5.512
1681,2011,3,12,0,-9.2,-8.63,-8.7,-8.36,-8.22,-7.747,-6.76,-6.375,7777,-5.684,-5.375,-5.498
1682,2011,3,12,1,-9.17,-8.67,-8.67,-8.33,-8.19,-7.718,-6.732,-6.348,7777,-5.657,-5.41,-5.533
1683,2011,3,12,2,-9.17,-8.68,-8.68,-8.33,-8.2,-7.722,-6.736,-6.352,7777,-5.661,-5.414,-5.537
1684,2011,3,12,3,-9.25,-8.68,-8.75,-8.34,-8.2,-7.796,-6.743,-6.358,7777,-5.729,-5.42,-5.544
1685,2011,3,12,4,-9.26,-8.7,-8.7,-8.35,-8.21,-7.741,-6.69,-6.37,7777,-5.679,-5.432,-5.555
1686,2011,3,12,5,-9.31,-8.68,-8.75,-8.4,-8.19,-7.721,-6.735,-6.351,7777,-5.661,-5.414,-5.537
1687,2011,3,12,6,-9.34,-8.71,-8.71,-8.36,-8.23,-7.687,-6.702,-6.382,7777,-5.691,-5.382,-5.505
1688,2011,3,12,7,-9.36,-8.72,-8.72,-8.38,-8.24,-7.7,-6.715,-6.395,7777,-5.704,-5.395,-5.518
1689,2011,3,12,8,-9.38,-8.74,-8.74,-8.39,-8.19,-7.716,-6.73,-6.346,7777,-5.656,-5.409,-5.532
1690,2011,3,12,9,-9.4,-8.77,-8.77,-8.42,-8.21,-7.741,-6.755,-6.37,7777,-5.679,-5.432,-5.555
1691,2011,3,12,10,-9.4,-8.77,-8.77,-8.35,-8.21,-7.741,-6.69,-6.37,7777,-5.679,-5.432,-5.555
1692,2011,3,12,11,-9.33,-8.77,-8.77,-8.42,-8.22,-7.745,-6.694,-6.373,7777,-5.682,-5.435,-5.558
1693,2011,3,12,12,-9.32,-8.76,-8.76,-8.41,-8.21,-7.734,-6.748,-6.364,7777,-5.673,-5.426,-5.549
1694,2011,3,12,13,-9.37,-8.8,-8.8,-8.39,-8.25,-7.778,-6.726,-6.406,7777,-5.714,-5.406,-5.529
1695,2011,3,12,14,-9.37,-8.74,-8.8,-8.39,-8.25,-7.712,-6.728,-6.344,7777,-5.716,-5.407,-5.53
1696,2011,3,12,15,-9.44,-8.8,-8.8,-8.46,-8.32,-7.779,-6.792,-6.407,7777,-5.716,-5.469,-5.592
1697,2011,3,12,16,-9.36,-8.79,-8.79,-8.38,-8.24,-7.702,-6.718,-6.335,7777,-5.646,-5.399,-5.522
1698,2011,3,12,17,-9.41,-8.77,-8.77,-8.43,-8.22,-7.748,-6.697,-6.378,7777,-5.687,-5.44,-5.563
1699,2011,3,12,18,-9.47,-8.83,-8.83,-8.42,-8.21,-7.738,-6.687,-6.367,7777,-5.677,-5.43,-5.553
1700,2011,3,12,19,-9.47,-8.83,-8.83,-8.41,-8.28,-7.735,-6.684,-6.364,7777,-5.673,-5.426,-5.55
1701,2011,3,12,20,-9.52,-8.88,-8.81,-8.46,-8.25,-7.713,-6.727,-6.343,7777,-5.714,-5.405,-5.59
1702,2011,3,12,21,-9.57,-8.86,-8.86,-8.44,-8.3,-7.76,-6.707,-6.387,7777,-5.695,-5.448,-5.571
1703,2011,3,12,22,-9.57,-8.86,-8.86,-8.44,-8.3,-7.761,-6.708,-6.388,7777,-5.696,-5.448,-5.572
1704,2011,3,12,23,-9.56,-8.92,-8.85,-8.43,-8.29,-7.751,-6.764,-6.379,7777,-5.687,-5.44,-5.563
1705,2011,3,13,0,-9.57,-8.93,-8.86,-8.44,-8.3,-7.761,-6.708,-6.324,7777,-5.696,-5.448,-5.572
1706,2011,3,13,1,-9.65,-8.94,-8.94,-8.52,-8.31,-7.77,-6.717,-6.396,7777,-5.704,-5.456,-5.58
1707,2011,3,13,2,-9.65,-8.94,-8.94,-8.52,-8.31,-7.771,-6.717,-6.397,7777,-5.704,-5.395,-5.58
1708,2011,3,13,3,-9.65,-9.01,-8.94,-8.52,-8.31,-7.771,-6.717,-6.397,7777,-5.704,-5.457,-5.58
1709,2011,3,13,4,-9.72,-9.01,-8.94,-8.52,-8.38,-7.771,-6.717,-6.397,7777,-5.704,-5.457,-5.58
1710,2011,3,13,5,-9.8,-9.08,-9.01,-8.59,-8.38,-7.771,-6.782,-6.397,7777,-5.766,-5.457,-5.642
1711,2011,3,13,6,-9.75,-9.04,-8.97,-8.55,-8.34,-7.798,-6.743,-6.359,7777,-5.729,-5.482,-5.605
1712,2011,3,13,7,-9.82,-9.03,-9.03,-8.54,-8.33,-7.791,-6.737,-6.352,7777,-5.723,-5.475,-5.599
1713,2011,3,13,8,-9.8,-9.08,-9.01,-8.59,-8.38,-7.771,-6.717,-6.397,7777,-5.704,-5.457,-5.58
1714,2011,3,13,9,-9.91,-9.12,-9.05,-8.63,-8.42,-7.81,-6.755,-6.37,7777,-5.74,-5.493,-5.616
1715,2011,3,13,10,-9.85,-9.14,-9.07,-8.65,-8.37,-7.825,-6.771,-6.386,7777,-5.756,-5.447,-5.57
1716,2011,3,13,11,-9.87,-9.16,-9.09,-8.66,-8.46,-7.844,-6.725,-6.404,7777,-5.712,-5.465,-5.588
1717,2011,3,13,12,-9.9,-9.18,-9.11,-8.69,-8.41,-7.868,-6.812,-6.427,7777,-5.734,-5.487,-5.61
1718,2011,3,13,13,-9.9,-9.18,-9.11,-8.69,-8.48,-7.866,-6.81,-6.425,7777,-5.733,-5.485,-5.609
1719,2011,3,13,14,-9.89,-9.17,-9.1,-8.68,-8.4,-7.857,-6.737,-6.417,7777,-5.725,-5.416,-5.601
1720,2011,3,13,15,-9.93,-9.21,-9.07,-8.65,-8.45,-7.834,-6.781,-6.396,7777,-5.767,-5.458,-5.581
1721,2011,3,13,16,-9.96,-9.24,-9.1,-8.68,-8.47,-7.856,-6.736,-6.416,7777,-5.724,-5.477,-5.6
1722,2011,3,13,17,-9.96,-9.17,-9.1,-8.68,-8.47,-7.856,-6.737,-6.416,7777,-5.724,-5.416,-5.539
1723,2011,3,13,18,-9.98,-9.19,-9.12,-8.69,-8.49,-7.806,-6.753,-6.368,7777,-5.74,-5.431,-5.616
1724,2011,3,13,19,-9.99,-9.2,-9.13,-8.71,-8.5,-7.818,-6.763,-6.379,7777,-5.749,-5.44,-5.625
1725,2011,3,13,20,-10,-9.28,-9.14,-8.72,-8.51,-7.896,-6.773,-6.388,7777,-5.696,-5.448,-5.572
1726,2011,3,13,21,-10.09,-9.29,-9.22,-8.8,-8.52,-7.905,-6.782,-6.396,7777,-5.766,-5.457,-5.642
1727,2011,3,13,22,-10.03,-9.3,-9.16,-8.74,-8.53,-7.914,-6.79,-6.405,7777,-5.712,-5.464,-5.588
1728,2011,3,13,23,-10.08,-9.36,-9.22,-8.79,-8.58,-7.9,-6.776,-6.455,7777,-5.76,-5.512,-5.636
1729,2011,3,14,0,-10.13,-9.33,-9.26,-8.84,-8.56,-7.878,-6.82,-6.434,7777,-5.741,-5.493,-5.616
1730,2011,3,14,1,-10.17,-9.37,-9.23,-8.81,-8.6,-7.912,-6.788,-6.402,7777,-5.71,-5.462,-5.586
1731,2011,3,14,2,-10.19,-9.39,-9.31,-8.82,-8.61,-7.925,-6.8,-6.414,7777,-5.783,-5.535,-5.596
1732,2011,3,14,3,-10.26,-9.39,-9.31,-8.82,-8.61,-7.925,-6.8,-6.414,7777,-5.783,-5.473,-5.659
1733,2011,3,14,4,-10.26,-9.46,-9.31,-8.89,-8.61,-7.993,-6.8,-6.414,7777,-5.783,-5.473,-5.597
1734,2011,3,14,5,-10.33,-9.46,-9.31,-8.89,-8.68,-7.925,-6.8,-6.414,7777,-5.783,-5.473,-5.659
1735,2011,3,14,6,-10.32,-9.45,-9.31,-8.88,-8.6,-7.917,-6.793,-6.407,7777,-5.714,-5.466,-5.59
1736,2011,3,14,7,-10.32,-9.52,-9.37,-8.88,-8.67,-7.983,-6.921,-6.406,7777,-5.713,-5.465,-5.589
1737,2011,3,14,8,-10.38,-9.58,-9.43,-8.94,-8.73,-7.972,-6.845,-6.459,7777,-5.764,-5.516,-5.64
1738,2011,3,14,9,-10.43,-9.63,-9.48,-8.99,-8.71,-8.02,-6.89,-6.439,7777,-5.746,-5.498,-5.621
1739,2011,3,14,10,-10.45,-9.57,-9.42,-8.93,-8.72,-7.964,-6.839,-6.453,7777,-5.759,-5.511,-5.635
1740,2011,3,14,11,-10.43,-9.62,-9.48,-8.98,-8.77,-8.01,-6.82,-6.435,7777,-5.804,-5.495,-5.68
1741,2011,3,14,12,-10.42,-9.61,-9.47,-8.97,-8.76,-8.01,-6.818,-6.433,7777,-5.803,-5.493,-5.617
1742,2011,3,14,13,-10.47,-9.66,-9.52,-9.02,-8.74,-8.05,-6.861,-6.475,7777,-5.782,-5.473,-5.658
1743,2011,3,14,14,-10.45,-9.64,-9.5,-9.07,-8.79,-8.04,-6.912,-6.462,7777,-5.77,-5.522,-5.646
1744,2011,3,14,15,-10.49,-9.61,-9.54,-9.04,-8.76,-8.07,-6.88,-6.43,7777,-5.801,-5.492,-5.615
1745,2011,3,14,16,-10.51,-9.63,-9.56,-9.06,-8.78,-8.09,-6.897,-6.447,7777,-5.755,-5.508,-5.631
1746,2011,3,14,17,-10.45,-9.64,-9.5,-9.07,-8.79,-8.04,-6.847,-6.398,7777,-5.77,-5.461,-5.646
1747,2011,3,14,18,-10.48,-9.68,-9.53,-9.11,-8.82,-8.07,-6.875,-6.489,7777,-5.733,-5.486,-5.609
1748,2011,3,14,19,-10.48,-9.68,-9.6,-9.11,-8.82,-8.07,-6.873,-6.487,7777,-5.793,-5.484,-5.607
1749,2011,3,14,20,-10.5,-9.69,-9.55,-9.12,-8.84,-8.08,-6.884,-6.434,7777,-5.741,-5.493,-5.617
1750,2011,3,14,21,-10.53,-9.72,-9.58,-9.15,-8.87,-8.11,-6.913,-6.462,7777,-5.768,-5.52,-5.644
1751,2011,3,14,22,-10.51,-9.77,-9.63,-9.13,-8.92,-8.16,-6.958,-6.507,7777,-5.812,-5.502,-5.687
1752,2011,3,14,23,-10.54,-9.73,-9.58,-9.15,-8.87,-8.11,-6.917,-6.466,7777,-5.773,-5.525,-5.648
1753,2011,3,15,0,-10.5,-9.77,-9.62,-9.19,-8.91,-8.15,-6.951,-6.499,7777,-5.805,-5.495,-5.68
1754,2011,3,15,1,-10.51,-9.77,-9.63,-9.2,-8.92,-8.16,-6.958,-6.507,7777,-5.812,-5.502,-5.687
1755,2011,3,15,2,-10.51,-9.77,-9.63,-9.13,-8.92,-8.16,-6.893,-6.507,7777,-5.75,-5.502,-5.625
1756,2011,3,15,3,-10.51,-9.77,-9.63,-9.2,-8.92,-8.16,-6.958,-6.507,7777,-5.812,-5.502,-5.687
1757,2011,3,15,4,-10.51,-9.77,-9.63,-9.2,-8.92,-8.22,-6.958,-6.507,7777,-5.812,-5.502,-5.687
1758,2011,3,15,5,-10.51,-9.77,-9.63,-9.2,-8.99,-8.22,-6.958,-6.507,7777,-5.812,-5.502,-5.687
1759,2011,3,15,6,-10.51,-9.77,-9.63,-9.2,-8.99,-8.22,-6.957,-6.505,7777,-5.81,-5.562,-5.686
1760,2011,3,15,7,-10.55,-9.74,-9.66,-9.23,-8.95,-8.19,-6.924,-6.473,7777,-5.842,-5.532,-5.717
1761,2011,3,15,8,-10.5,-9.76,-9.69,-9.19,-8.98,-8.22,-6.951,-6.5,7777,-5.805,-5.557,-5.681
