COL.,DATA TYPE  ,,,,,,,,,,,,,,,
1,Date Time (AST),,,,,,,,,,,,,,,
2,0-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
3,5-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
4,10-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
5,15-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
6,20-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
7,40-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
8,60-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
9,80-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
10,100-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
11,120-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
12,135-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
13,150-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
,"NOTE:,6999 DENOTES MISSING DATA OR INVALID DATA",,,,,,,,,,,,,,,
,",7777 DENOTES UNCOLLECTED DATA ",,,,,,,,,,,,,,,
ID,Year,Month,Day,Hour,Depth.0.cm,Depth.5.cm,Depth.10.cm,Depth.15.cm,Depth.20.cm,Depth.40.cm,Depth.60.cm,Depth.80.cm,Depth.100.cm,Depth.120.cm,Depth.135.cm,Depth.150.cm
37,2011,1,2,12,-6.182,-4.65,-4.95,-4.354,-3.77,-2.307,-0.087,-0.24,7777,-0.601,-0.653,-1.071
38,2011,1,2,13,-6.02,-4.558,-4.916,-4.321,-3.739,-2.279,-0.114,-0.216,7777,-0.576,-0.628,-1.045
39,2011,1,2,14,-5.897,-4.56,-4.918,-4.324,-3.741,-2.281,-0.117,-0.219,7777,-0.527,-0.631,-1.048
40,2011,1,2,15,-5.835,-4.442,-4.858,-4.324,-3.741,-2.281,-0.066,-0.219,7777,-0.527,-0.631,-1.048
41,2011,1,2,16,-5.768,-4.437,-4.794,-4.261,-3.737,-2.278,-0.114,-0.267,7777,-0.576,-0.627,-1.045
42,2011,1,2,17,-5.58,-4.317,-4.731,-4.199,-3.677,-2.221,-0.112,-0.214,7777,-0.522,-0.574,-0.99
43,2011,1,2,18,-5.518,-4.257,-4.731,-4.199,-3.619,-2.275,-0.112,-0.214,7777,-0.522,-0.625,-1.043
44,2011,1,2,19,-5.423,-4.167,-4.638,-4.167,-3.645,-2.245,-0.085,-0.187,7777,-0.546,-0.598,-1.014
45,2011,1,2,20,-5.281,-4.09,-4.619,-4.09,-3.57,-2.228,-0.069,-0.222,7777,-0.53,-0.581,-0.998
46,2011,1,2,21,-5.183,-4.054,-4.524,-4.054,-3.535,-2.249,-0.088,-0.19,7777,-0.55,-0.601,-1.018
47,2011,1,2,22,-5.091,-3.966,-4.493,-4.024,-3.562,-2.275,-0.112,-0.214,7777,-0.522,-0.625,-1.042
48,2011,1,2,23,-4.97,-3.908,-4.434,-4.024,-3.505,-2.275,-0.112,-0.214,7777,-0.574,-0.625,-1.042
49,2011,1,3,0,-4.85,-3.792,-4.375,-3.908,-3.448,-2.22,-0.112,-0.214,7777,-0.522,-0.625,-0.99
50,2011,1,3,1,-4.798,-3.741,-4.323,-3.915,-3.455,-2.226,-0.117,-0.219,7777,-0.579,-0.631,-1.048
51,2011,1,3,2,-4.668,-3.674,-4.254,-3.847,-3.388,-2.272,-0.159,-0.262,7777,-0.57,-0.622,-1.039
52,2011,1,3,3,-4.56,-3.626,-4.206,-3.857,-3.398,-2.226,-0.168,-0.219,7777,-0.579,-0.631,-1.048
53,2011,1,3,4,-4.493,-3.562,-4.14,-3.792,-3.334,-2.22,-0.163,-0.214,7777,-0.574,-0.626,-1.043
54,2011,1,3,5,-4.461,-3.474,-4.109,-3.703,-3.303,-2.191,-0.136,-0.238,7777,-0.546,-0.598,-1.014
55,2011,1,3,6,-4.362,-3.436,-4.011,-3.665,-3.265,-2.209,-0.152,-0.255,7777,-0.563,-0.615,-1.031
56,2011,1,3,7,-4.257,-3.334,-3.966,-3.619,-3.221,-2.166,-0.112,-0.214,7777,-0.522,-0.574,-0.99
57,2011,1,3,8,-4.199,-3.277,-3.908,-3.562,-3.164,-2.166,-0.112,-0.214,7777,-0.522,-0.574,-0.99
58,2011,1,3,9,-4.198,-3.276,-3.906,-3.561,-3.163,-2.164,-0.161,-0.263,7777,-0.572,-0.623,-1.04
59,2011,1,3,10,-4.082,-3.164,-3.792,-3.448,-3.108,-2.111,-0.112,-0.214,7777,-0.522,-0.625,-1.043
60,2011,1,3,11,-4.024,-3.108,-3.792,-3.448,-3.052,-2.166,-0.163,-0.214,7777,-0.522,-0.625,-1.043
61,2011,1,3,12,-4.024,-3.108,-3.792,-3.448,-3.052,-2.111,-0.163,-0.265,7777,-0.574,-0.625,-1.043
62,2011,1,3,13,-3.921,-3.008,-3.69,-3.347,-3.008,-2.123,-0.123,-0.225,7777,-0.533,-0.585,-1.002
63,2011,1,3,14,-3.906,-3.05,-3.675,-3.389,-2.993,-2.164,-0.16,-0.263,7777,-0.571,-0.623,-1.04
64,2011,1,3,15,-3.792,-2.94,-3.62,-3.278,-2.884,-2.112,-0.163,-0.214,7777,-0.522,-0.574,-0.99
65,2011,1,3,16,-3.751,-2.9,-3.579,-3.237,-2.9,-2.073,-0.127,-0.229,7777,-0.537,-0.589,-1.005
66,2011,1,3,17,-3.74,-2.889,-3.511,-3.227,-2.833,-2.062,-0.167,-0.218,7777,-0.527,-0.63,-0.995
67,2011,1,3,18,-3.711,-2.804,-3.481,-3.197,-2.804,-2.034,-0.141,-0.192,7777,-0.5,-0.603,-1.02
68,2011,1,3,19,-3.696,-2.79,-3.467,-3.183,-2.846,-2.074,-0.177,-0.228,7777,-0.588,-0.64,-1.005
69,2011,1,3,20,-3.641,-2.736,-3.412,-3.128,-2.736,-2.021,-0.179,-0.23,7777,-0.538,-0.59,-1.007
70,2011,1,3,21,-3.641,-2.736,-3.412,-3.072,-2.736,-1.967,-0.179,-0.179,7777,-0.538,-0.59,-1.007
71,2011,1,3,22,-3.641,-2.736,-3.412,-3.072,-2.736,-2.021,-0.179,-0.23,7777,-0.59,-0.642,-1.007
72,2011,1,3,23,-3.638,-2.733,-3.352,-3.069,-2.678,-1.965,-0.176,-0.228,7777,-0.536,-0.588,-1.005
73,2011,1,4,0,-3.66,-2.699,-3.317,-2.979,-2.644,-1.931,-0.196,-0.196,7777,-0.556,-0.607,-1.025
74,2011,1,4,1,-3.59,-2.687,-3.305,-2.966,-2.631,-1.919,-0.184,-0.235,7777,-0.543,-0.595,-1.012
75,2011,1,4,2,-3.654,-2.637,-3.311,-2.972,-2.637,-1.979,-0.189,-0.24,7777,-0.548,-0.6,-1.018
76,2011,1,4,3,-3.669,-2.651,-3.269,-2.93,-2.596,-1.938,-0.151,-0.202,7777,-0.562,-0.614,-1.031
77,2011,1,4,4,-3.653,-2.636,-3.253,-2.915,-2.581,-1.924,-0.137,-0.188,7777,-0.548,-0.6,-1.017
78,2011,1,4,5,-3.705,-2.631,-3.248,-2.91,-2.521,-1.919,-0.184,-0.235,7777,-0.544,-0.595,-1.013
79,2011,1,4,6,-3.705,-2.687,-3.248,-2.91,-2.576,-1.919,-0.184,-0.235,7777,-0.544,-0.647,-1.013
80,2011,1,4,7,-3.705,-2.687,-3.248,-2.91,-2.521,-1.919,-0.184,-0.235,7777,-0.544,-0.647,-1.013
81,2011,1,4,8,-3.705,-2.631,-3.248,-2.854,-2.521,-1.865,-0.184,-0.235,7777,-0.544,-0.595,-1.013
82,2011,1,4,9,-3.75,-2.674,-3.235,-2.841,-2.508,-1.852,-0.171,-0.222,7777,-0.53,-0.582,-0.999
83,2011,1,4,10,-3.779,-2.646,-3.264,-2.869,-2.535,-1.878,-0.195,-0.246,7777,-0.555,-0.607,-1.025
84,2011,1,4,11,-3.784,-2.651,-3.212,-2.874,-2.485,-1.829,-0.199,-0.199,7777,-0.508,-0.611,-1.029
85,2011,1,4,12,-3.798,-2.664,-3.226,-2.831,-2.443,-1.842,-0.16,-0.211,7777,-0.52,-0.624,-0.989
86,2011,1,4,13,-3.848,-2.656,-3.218,-2.823,-2.49,-1.834,-0.203,-0.255,7777,-0.564,-0.616,-1.034
87,2011,1,4,14,-3.849,-2.657,-3.219,-2.825,-2.436,-1.835,-0.153,-0.205,7777,-0.513,-0.617,-0.982
88,2011,1,4,15,-3.849,-2.713,-3.219,-2.825,-2.491,-1.835,-0.205,-0.205,7777,-0.513,-0.617,-1.035
89,2011,1,4,16,-3.908,-2.713,-3.219,-2.825,-2.491,-1.835,-0.205,-0.256,7777,-0.565,-0.617,-1.035
90,2011,1,4,17,-3.963,-2.71,-3.273,-2.822,-2.488,-1.832,-0.202,-0.253,7777,-0.563,-0.615,-1.033
91,2011,1,4,18,-3.936,-2.74,-3.246,-2.852,-2.463,-1.807,-0.179,-0.23,7777,-0.539,-0.643,-1.008
92,2011,1,4,19,-3.933,-2.738,-3.244,-2.849,-2.46,-1.805,-0.228,-0.228,7777,-0.537,-0.64,-1.006
93,2011,1,4,20,-3.968,-2.716,-3.222,-2.828,-2.439,-1.784,-0.208,-0.208,7777,-0.517,-0.62,-0.986
94,2011,1,4,21,-3.992,-2.738,-3.244,-2.85,-2.461,-1.805,-0.177,-0.228,7777,-0.537,-0.589,-1.006
95,2011,1,4,22,-3.994,-2.74,-3.247,-2.852,-2.463,-1.754,-0.179,-0.23,7777,-0.539,-0.591,-1.008
96,2011,1,4,23,-4.001,-2.803,-3.254,-2.859,-2.47,-1.76,-0.185,-0.236,7777,-0.545,-0.649,-1.015
97,2011,1,5,0,-4.022,-2.767,-3.274,-2.879,-2.489,-1.779,-0.203,-0.254,7777,-0.563,-0.615,-1.033
98,2011,1,5,1,-4.024,-2.769,-3.276,-2.881,-2.491,-1.781,-0.205,-0.256,7777,-0.565,-0.617,-1.035
99,2011,1,5,2,-4.024,-2.769,-3.276,-2.825,-2.491,-1.781,-0.205,-0.256,7777,-0.565,-0.617,-1.035
100,2011,1,5,3,-4.024,-2.825,-3.276,-2.825,-2.436,-1.781,-0.205,-0.256,7777,-0.565,-0.617,-1.035
101,2011,1,5,4,-4.024,-2.825,-3.276,-2.881,-2.491,-1.781,-0.205,-0.256,7777,-0.565,-0.617,-1.035
102,2011,1,5,5,-4.055,-2.798,-3.249,-2.854,-2.465,-1.756,-0.232,-0.232,7777,-0.541,-0.645,-1.011
103,2011,1,5,6,-4.068,-2.811,-3.319,-2.867,-2.478,-1.768,-0.244,-0.244,7777,-0.553,-0.657,-1.022
104,2011,1,5,7,-4.08,-2.823,-3.274,-2.879,-2.489,-1.779,-0.203,-0.254,7777,-0.563,-0.615,-1.033
105,2011,1,5,8,-4.082,-2.825,-3.276,-2.881,-2.436,-1.727,-0.205,-0.256,7777,-0.565,-0.617,-1.035
106,2011,1,5,9,-4.082,-2.824,-3.332,-2.88,-2.435,-1.78,-0.203,-0.254,7777,-0.564,-0.615,-1.034
107,2011,1,5,10,-4.031,-2.775,-3.283,-2.831,-2.442,-1.787,-0.21,-0.21,7777,-0.519,-0.622,-1.041
108,2011,1,5,11,-4.09,-2.831,-3.283,-2.887,-2.442,-1.787,-0.21,-0.21,7777,-0.519,-0.622,-1.041
109,2011,1,5,12,-4.14,-2.879,-3.331,-2.879,-2.489,-1.779,-0.254,-0.254,7777,-0.563,-0.615,-1.033
110,2011,1,5,13,-4.141,-2.825,-3.276,-2.881,-2.491,-1.781,-0.256,-0.256,7777,-0.565,-0.617,-1.035
111,2011,1,5,14,-4.141,-2.825,-3.276,-2.881,-2.491,-1.781,-0.205,-0.256,7777,-0.565,-0.617,-1.035
112,2011,1,5,15,-4.114,-2.855,-3.307,-2.855,-2.466,-1.756,-0.232,-0.232,7777,-0.541,-0.593,-1.011
113,2011,1,5,16,-4.148,-2.831,-3.339,-2.887,-2.442,-1.787,-0.21,-0.21,7777,-0.519,-0.622,-1.041
114,2011,1,5,17,-4.181,-2.862,-3.314,-2.862,-2.473,-1.763,-0.238,-0.238,7777,-0.547,-0.599,-1.017
115,2011,1,5,18,-4.214,-2.894,-3.346,-2.894,-2.504,-1.793,-0.215,-0.266,7777,-0.576,-0.628,-0.994
116,2011,1,5,19,-4.218,-2.898,-3.35,-2.898,-2.452,-1.743,-0.219,-0.219,7777,-0.528,-0.632,-1.05
117,2011,1,5,20,-4.265,-2.943,-3.339,-2.943,-2.497,-1.787,-0.261,-0.261,7777,-0.57,-0.622,-1.04
118,2011,1,5,21,-4.2,-2.881,-3.332,-2.937,-2.491,-1.727,-0.256,-0.256,7777,-0.565,-0.617,-1.035
119,2011,1,5,22,-4.258,-2.937,-3.389,-2.937,-2.491,-1.781,-0.256,-0.256,7777,-0.565,-0.617,-1.035
120,2011,1,5,23,-4.258,-2.937,-3.389,-2.937,-2.491,-1.781,-0.256,-0.256,7777,-0.565,-0.617,-1.035
121,2011,1,6,0,-4.258,-2.937,-3.389,-2.937,-2.491,-1.727,-0.256,-0.205,7777,-0.565,-0.617,-1.035
122,2011,1,6,1,-4.3,-2.976,-3.373,-2.976,-2.53,-1.765,-0.24,-0.24,7777,-0.549,-0.601,-1.019
